ID,MWS,Group,Database,Layer,Name,Provider,Level,Geocode,Type,Discription,geojson,Year
12,MWS-002-1,Proposal,Water resource management,Unit rates of different vegetative cover-improving methods,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_12.csv,
13,MWS-002-1,Proposal,Water resource management,Unit rates of different reservation protection methods,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_13.csv,
14,MWS-002-1,Proposal,Water resource management,Unit rates of different options for canal rehabilitation,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_14.csv,
15,MWS-002-1,Proposal,Water resource management,Unit rates of garbage traps and culverts,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_15.csv,
16,MWS-002-1,Proposal,Water resource management,"Unit rates of SABO dams, Storage tanks, Leader drains, etc",,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_16.csv,
17,MWS-002-1,Proposal,Water resource management,Estimate of domestic water supply related activities,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_17.csv,
18,MWS-002-1,Proposal,Water resource management,Estimate of water source protection-related activities,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_18.csv,
19,MWS-002-1,Proposal,Water resource management,Cost estimate of minor irrigation-related proposals with locations,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_19.csv,
20,MWS-002-1,Proposal,Water resource management,Time frame for implementing domestic water and water source protection,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_20.csv,
21,MWS-002-1,Proposal,Water resource management,Time frame for implementation of minor irrigation proposals,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_21.csv,
22,MWS-002-1,Proposal,Water quality improvement,Details related to water pollution in MWS-002-1 belongs to the Deltota DS Division,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_22.csv,
23,MWS-002-1,Proposal,Stream reservation,Brief description of legal provisions,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_23.csv,
24,MWS-002-1,Proposal,Stream reservation,Total Cost Estimate for Stream Reservation Proposals,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_24.csv,
25,MWS-002-1,Proposal,Stream reservation,Time frame for implementing stream reservation activities,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_25.csv,
26,MWS-002-1,Proposal,Product and entrepreneurships developments,Packaging and transport of agricultural produce,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_26.csv,
27,MWS-002-1,Proposal,Product and entrepreneurships developments,Potential for tourism development and promotion in the area,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_27.csv,
28,MWS-002-1,Proposal,Product and entrepreneurships developments,Cost estimates and Time frame,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_28.csv,
29,MWS-002-1,Proposal,Forest management,Key stakeholders of Forest lands,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_29.csv,
30,MWS-002-1,Proposal,Forest management,Forest lands in MWS-002-1,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_30.csv,
31,MWS-002-1,Proposal,Forest management,Vegetation cover vs population in MWS-002-1,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_31.csv,
32,MWS-002-1,Proposal,Forest management,Costing of the proposed activities for conserving the Forest/water resources,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_32.csv,
33,MWS-002-1,Proposal,Tea land management,Key stakeholders of Tea lands,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_33.csv,
34,MWS-002-1,Proposal,Tea land management,Estimated cost to be incurred for planting one hectare of tea lands,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_34.csv,
35,MWS-002-1,Proposal,Tea land management,Five-year plan MWS-002-1,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_35.csv,
36,MWS-002-1,Proposal,Tea land management,Total estimated cost of production for the five-year period,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_36.csv,
37,MWS-002-1,Proposal,Livelihood improvement,Livelihood challenges and community expectations,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_37.csv,
38,MWS-002-1,Proposal,Livelihood improvement,Crop suitability,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_38.csv,
39,MWS-002-1,Proposal,Livelihood improvement,Annual production of major export crops,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_39.csv,
40,MWS-002-1,Proposal,Livelihood improvement,Potential value-added production,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_40.csv,
41,MWS-002-1,Proposal,Livelihood improvement,Insurance service providers,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_41.csv,
42,MWS-002-1,Proposal,Livelihood improvement,Cost estimation of livelihood development activities,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_42.csv,
43,MWS-002-1,Proposal,Livelihood improvement,Timeframe for the implementation,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_43.csv,
44,MWS-002-1,Proposal,Training and capacity developmen,Contents of the agriculture productivity improvement training,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_44.csv,
45,MWS-002-1,Proposal,Training and capacity developmen,Recommended training programs for Livelihood development and marketing,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_45.csv,
46,MWS-002-1,Proposal,Training and capacity developmen,Expenditure Estimate for training programs,,,,,,,https://raw.githubusercontent.com/MWS003-GIS/MWS003-GIS.github.io/main/IWWRMP/Data/Proposal/MWS_002_1/Table_6_46.csv,
